Status,Seq,URL,SKU,Product Code,IsBundle,User-pc count,SKU Type,Page to Land,Site Code,Site Language,Sku Language,Country Code,Language Code,Currency Code,Price,,,org,Channel,Promotion (Flex),Segment,Keyword Category,Email Program,Affiliate Sub Channel,Period (Time),Is Upgrade,PL Code,tppc,Batch Name,sku lang priority,Valid From,Valid To,Phased Out,Source,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2011030422,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=13561754&tppc=7b990de271a6eb548d4e204edffed44c&ptype=cart,13561754,EIS_Vx_0MO_PC,N,1-1,Service,cart,DE_SITE,German,GE,DE,de,EUR,29.99,,,NORTONLIVE,PC_CHECKUP,25PCT,25,,,,,N,ECOM_MKT_PAID_SEARCH_25PCT_OFF_ALL_ALL_ALL_ALL_ALL,7b990de271a6eb548d4e204edffed44c,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2011030423,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=13561754&tppc=c000d8676bb9755504dc50240d2cbb7c&ptype=cart,13561754,EIS_Vx_0MO_PC,N,1-1,Service,cart,DE_SITE,German,GE,DE,de,EUR,27.99,,,NORTONLIVE,PC_CHECKUP,30PCT,30,,,,,N,ECOM_MKT_PAID_SEARCH_30PCT_OFF_ALL_ALL_ALL_ALL_ALL,c000d8676bb9755504dc50240d2cbb7c,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,14200,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=13561754&tppc=442c858e84d0e39d91d59a6ff2136f38&ptype=cart,13561754,EIS_Vx_0MO_PC,N,1-1,Service,cart,DE_SITE,German,GE,DE,de,EUR,24.99,,,ECOM_MKT,NORTONCOM,MASTERCOPY,UP,,,,,Y,ECOM_MKT_NORTONCOM_MASTERCOPY_ALL_ALL_ALL_ALL_ALL_UPGRADE,442c858e84d0e39d91d59a6ff2136f38,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2011040274,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=13561754&tppc=54c25948177af520f6f20be466d44731&ptype=cart,13561754,EIS_Vx_0MO_PC,N,1-1,Service,cart,DE_SITE,German,GE,DE,de,EUR,23.99,,,NORTONLIVE,PC_CHECKUP,40PCT,40,,,,,N,ECOM_MKT_PAID_SEARCH_40_PCTOFF_ALL_ALL_ALL_ALL_ALL,54c25948177af520f6f20be466d44731,,Added 4/11,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2011030424,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=13561754&tppc=1d92fefc16d046ca2a46858fa2e43a26&ptype=cart,13561754,EIS_Vx_0MO_PC,N,1-1,Service,cart,DE_SITE,German,GE,DE,de,EUR,19.99,,,NORTONLIVE,PC_CHECKUP,50PCT,50,,,,,N,ECOM_MKT_AFFILIATES_MASTER_50PCT_ALL_ALL_ALL_ALL_ALL,1d92fefc16d046ca2a46858fa2e43a26,4/5/2011,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,1129,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=13561757&tppc=7b7c8944b5fdda38d995eeec5ca584e6&ptype=cart,13561757,EIS_Vx_0MO_PC,N,1-1       ,Service,cart,FR_SITE,French,FR,FR,FR,EUR,49.99,,,ECOM_MKT,NORTONCOM,ALL,0,,,,,N,ECOM_MKT_NORTONCOM_ALL_ALL_ALL_ALL_ALL_ALL,7b7c8944b5fdda38d995eeec5ca584e6,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,11007,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=13561757&tppc=bd695ba4630f67b79bd7500256d5e6ed&ptype=cart,13561757,EIS_Vx_0MO_PC,N,1-1,Service,cart,FR_SITE,French,FR,FR,FR,EUR,44.99,,,ECOM_MKT,AFFILIATES,MASTER_10PCT,10,,,,,N,ECOM_MKT_AFFILIATES_MASTER_10PCT_ALL_ALL_ALL_ALL_ALL,bd695ba4630f67b79bd7500256d5e6ed,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,11807,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=13561757&tppc=9e2209ee4e82c4234f2d25a34b7192c1&ptype=cart,13561757,EIS_Vx_0MO_PC,N,1-1,Service,cart,FR_SITE,French,FR,FR,FR,EUR,42.49,,,ECOM_MKT,AFFILIATES,MASTER_15PCT,15,,,,,N,ECOM_MKT_AFFILIATES_MASTER_15PCT_ALL_ALL_ALL_ALL_ALL,9e2209ee4e82c4234f2d25a34b7192c1,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,12607,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=13561757&tppc=26d0aa163ad4796e52994946ed48017f&ptype=cart,13561757,EIS_Vx_0MO_PC,N,1-1,Service,cart,FR_SITE,French,FR,FR,FR,EUR,39.99,,,ECOM_MKT,AFFILIATES,MASTER_20PCT,20,,,,,N,ECOM_MKT_AFFILIATES_MASTER_20PCT_ALL_ALL_ALL_ALL_ALL,26d0aa163ad4796e52994946ed48017f,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2011030425,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=13561757&tppc=7b990de271a6eb548d4e204edffed44c&ptype=cart,13561757,EIS_Vx_0MO_PC,N,1-1,Service,cart,FR_SITE,French,FR,FR,fr,EUR,29.99,,,NORTONLIVE,PC_CHECKUP,25PCT,25,,,,,N,ECOM_MKT_PAID_SEARCH_25PCT_OFF_ALL_ALL_ALL_ALL_ALL,7b990de271a6eb548d4e204edffed44c,,,,,,,Symantec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
